date,station,temperature,green,red,nir,swir1,swir2,lst
2023-08-24,4,33.0,3256,3412,3878,3775,3288,313.0
2023-08-24,8,32.2,2046,2074,3934,3068,2641,308.0
2023-08-24,16,30.6,2110,2114,3736,2787,2291,308.0
2023-08-24,18,31.7,1578,1636,3810,2981,2507,306.0
2023-08-24,24,31.2,3046,3580,4428,4747,4065,312.0
2023-08-24,35,31.1,2298,2654,3134,3237,3116,313.0
2023-08-24,36,29.7,2148,2128,2876,2664,2346,311.0
2023-08-24,38,31.7,1976,2044,2902,2754,2432,311.0
2023-08-24,39,33.5,2790,3084,3856,3171,2653,312.0
2023-08-24,54,31.9,2574,2974,3732,4007,3548,312.0
2023-08-24,56,31.7,2246,2316,3408,3014,2747,310.0
2023-08-24,58,34.7,2012,2012,3966,3463,2743,307.0
2023-08-24,59,31.3,2066,2140,4444,3068,2489,307.0
2023-08-24,102,27.3,1893,2318,2694,2803,2500,313.0
2023-08-24,103,30.7,1778,1744,3274,2747,2346,308.0
2023-08-24,107,28.1,1606,1461,3924,2507,2020,304.0
2023-08-24,108,28.8,2302,2492,3372,3104,2694,311.0
2023-08-24,110,31.0,2226,2602,3674,3846,3641,311.0
2023-08-24,111,31.6,1879,1908,2572,2720,2490,311.0
2023-08-24,112,33.4,2748,3066,3410,4100,4201,313.0
2023-08-24,113,31.6,2748,3066,3410,4100,4201,313.0
2023-08-24,114,32.5,2528,3404,4072,5065,5022,312.0
2023-08-24,115,32.0,2528,3404,4072,5065,5022,312.0
